,measured,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,t_out,humidity,sim_A,sim_B,sim_C,sim_D,sim_E,predicted_physics,residual_true
2017-01-05 20:00:00,3155.6,20.0,3.0,1.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,1.0,22.1,75.0,720.3136253732685,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,3041.9086398114678,113.69136018853214
2017-01-05 21:00:00,3158.57,21.0,3.0,1.0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.0,1.0,22.3,75.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2996.1769971475674,162.3930028524328
2017-01-05 22:00:00,2984.81,22.0,3.0,1.0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.0,1.0,22.3,75.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2943.882140706324,40.92785929367574
2017-01-05 23:00:00,2845.05,23.0,3.0,1.0,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.0,1.0,22.3,74.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2891.233012678245,-46.18301267824472
2017-01-06 00:00:00,2774.28,0.0,4.0,1.0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,22.0,77.0,720.3136253732683,1402.9329878971744,80.8781055991149,113.00926682796572,141.7554407258576,2737.8489284799257,36.43107152007451
2017-01-06 01:00:00,2680.88,1.0,4.0,1.0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.9,80.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2705.3741370073167,-24.494137007316567
2017-01-06 02:00:00,2651.47,2.0,4.0,1.0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.7,81.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2675.0562210405183,-23.586221040518467
2017-01-06 03:00:00,2579.23,3.0,4.0,1.0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.3,83.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2653.4645747821214,-74.2345747821214
2017-01-06 04:00:00,2550.81,4.0,4.0,1.0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.7,81.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2647.802747044443,-96.99274704444315
2017-01-06 05:00:00,2486.95,5.0,4.0,1.0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.0,1.0,20.7,81.0,340.4476754898225,1402.9329878971744,66.77965555655015,113.00926682796572,141.7554407258576,2651.1707483609334,-164.2207483609336
