yr,mo,da,hr,mi,etr,etrn,ghi,dni,dhi,tcld,db,dp,rh,ps,wdir,wspd,hvis,ch,lpd,lpq
2024,1,5,21,60,0.0,0.0,0.0,0.0,0.0,5,15.0,10.0,94,1020.5,198,3.7,-9900,-9900,0.0,0.0
2024,1,5,22,60,0.0,0.0,0.0,0.0,0.0,5,14.7,9.7,94,1020.5,193,3.7,-9900,-9900,0.0,0.0
2024,1,5,23,60,0.0,0.0,0.0,0.0,0.0,5,16.1,11.1,88,1021.2,177,7.4,-9900,-9900,0.0,0.0
2024,1,5,24,60,0.0,0.0,0.0,0.0,0.0,5,16.3,11.3,86,1021.7,182,7.4,-9900,-9900,0.0,0.0
2024,1,6,1,60,0.0,0.0,0.0,0.0,0.0,5,16.4,11.4,86,1022.1,188,7.4,-9900,-9900,0.0,0.0
2024,1,6,2,60,0.0,0.0,0.0,0.0,0.0,5,17.9,12.9,77,1021.8,186,7.4,-9900,-9900,0.0,0.0
2024,1,6,3,60,0.0,0.0,0.0,0.0,0.0,5,19.4,14.4,71,1021.4,177,5.5,-9900,-9900,0.0,0.0
2024,1,6,4,60,0.0,0.0,0.0,0.0,0.0,5,20.9,15.9,64,1021.1,31,5.5,-9900,-9900,0.0,0.0
2024,1,6,5,60,0.0,0.0,0.0,0.0,0.0,5,21.1,16.1,64,1020.7,36,7.4,-9900,-9900,0.0,0.0
2024,1,6,6,60,0.0,0.0,0.0,0.0,0.0,5,21.5,16.5,62,1019.8,360,7.4,-9900,-9900,0.0,0.0
2024,1,6,7,60,0.0,0.0,0.0,0.0,0.0,5,21.9,16.9,61,1018.9,332,7.4,-9900,-9900,0.0,0.0
2024,1,6,8,60,0.0,0.0,0.0,0.0,0.0,5,21.2,16.2,63,1019.2,36,9.3,-9900,-9900,0.0,0.0
2024,1,6,9,60,0.0,0.0,0.0,0.0,0.0,5,20.5,15.5,65,1019.6,65,9.3,-9900,-9900,0.0,0.0
2024,1,6,10,60,0.0,0.0,0.0,0.0,0.0,5,19.8,14.8,68,1019.9,75,11.1,-9900,-9900,0.0,0.0
2024,1,6,11,60,0.0,0.0,0.0,0.0,0.0,5,19.4,14.4,74,1020.7,59,11.1,-9900,-9900,0.0,0.0
2024,1,6,12,60,0.0,0.0,0.0,0.0,0.0,5,18.8,13.8,76,1021.2,72,11.1,-9900,-9900,0.0,0.0
2024,1,6,13,60,0.0,0.0,0.0,0.0,0.0,5,18.2,13.2,79,1021.7,87,11.1,-9900,-9900,0.0,0.0
2024,1,6,14,60,0.0,0.0,0.0,0.0,0.0,5,17.9,12.9,80,1021.9,89,11.1,-9900,-9900,0.0,0.0
2024,1,6,15,60,0.0,0.0,0.0,0.0,0.0,5,17.7,12.7,81,1022.2,91,13.0,-9900,-9900,0.0,0.0
2024,1,6,16,60,0.0,0.0,0.0,0.0,0.0,5,17.4,12.4,82,1022.4,92,13.0,-9900,-9900,0.0,0.0
2024,1,6,17,60,0.0,0.0,0.0,0.0,0.0,5,17.2,12.2,80,1022.5,98,13.0,-9900,-9900,0.0,0.0
2024,1,6,18,60,0.0,0.0,0.0,0.0,0.0,5,17.0,12.0,81,1022.4,97,13.0,-9900,-9900,0.0,0.0
2024,1,6,19,60,0.0,0.0,0.0,0.0,0.0,5,16.9,11.9,81,1022.3,96,11.1,-9900,-9900,0.0,0.0
2024,1,6,20,60,0.0,0.0,0.0,0.0,0.0,5,16.7,11.7,81,1022.4,96,11.1,-9900,-9900,0.0,0.0
2024,1,6,21,60,0.0,0.0,0.0,0.0,0.0,5,16.6,11.6,81,1022.5,96,13.0,-9900,-9900,0.0,0.0
2024,1,6,22,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,81,1022.6,96,13.0,-9900,-9900,0.0,0.0
2024,1,6,23,60,0.0,0.0,0.0,0.0,0.0,5,17.8,12.8,68,1023.5,96,14.8,-9900,-9900,0.0,0.0
2024,1,6,24,60,0.0,0.0,0.0,0.0,0.0,5,17.8,12.8,68,1024.1,96,14.8,-9900,-9900,0.0,0.0
2024,1,7,1,60,0.0,0.0,0.0,0.0,0.0,5,17.7,12.7,69,1024.8,95,14.8,-9900,-9900,0.0,0.0
2024,1,7,2,60,0.0,0.0,0.0,0.0,0.0,5,17.8,12.8,68,1024.9,87,16.7,-9900,-9900,0.0,0.0
2024,1,7,3,60,0.0,0.0,0.0,0.0,0.0,5,18.0,13.0,67,1025.0,82,18.5,-9900,-9900,0.0,0.0
2024,1,7,4,60,0.0,0.0,0.0,0.0,0.0,5,18.1,13.1,66,1025.1,78,20.4,-9900,-9900,0.0,0.0
2024,1,7,5,60,0.0,0.0,0.0,0.0,0.0,5,18.2,13.2,62,1024.5,78,18.5,-9900,-9900,0.0,0.0
2024,1,7,6,60,0.0,0.0,0.0,0.0,0.0,5,18.2,13.2,61,1023.9,73,16.7,-9900,-9900,0.0,0.0
2024,1,7,7,60,0.0,0.0,0.0,0.0,0.0,5,18.2,13.2,61,1023.2,67,16.7,-9900,-9900,0.0,0.0
2024,1,7,8,60,0.0,0.0,0.0,0.0,0.0,5,17.9,12.9,63,1023.5,73,18.5,-9900,-9900,0.0,0.0
2024,1,7,9,60,0.0,0.0,0.0,0.0,0.0,5,17.5,12.5,65,1023.7,79,18.5,-9900,-9900,0.0,0.0
2024,1,7,10,60,0.0,0.0,0.0,0.0,0.0,5,17.1,12.1,67,1023.9,83,20.4,-9900,-9900,0.0,0.0
2024,1,7,11,60,0.0,0.0,0.0,0.0,0.0,5,17.0,12.0,69,1024.1,86,18.5,-9900,-9900,0.0,0.0
2024,1,7,12,60,0.0,0.0,0.0,0.0,0.0,5,16.9,11.9,70,1024.2,88,16.7,-9900,-9900,0.0,0.0
2024,1,7,13,60,0.0,0.0,0.0,0.0,0.0,5,16.8,11.8,71,1024.4,92,16.7,-9900,-9900,0.0,0.0
2024,1,7,14,60,0.0,0.0,0.0,0.0,0.0,5,16.7,11.7,72,1024.2,91,18.5,-9900,-9900,0.0,0.0
2024,1,7,15,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,73,1024.0,91,18.5,-9900,-9900,0.0,0.0
2024,1,7,16,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,73,1023.9,91,20.4,-9900,-9900,0.0,0.0
2024,1,7,17,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,73,1023.3,90,18.5,-9900,-9900,0.0,0.0
2024,1,7,18,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,74,1022.8,89,16.7,-9900,-9900,0.0,0.0
2024,1,7,19,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,74,1022.3,88,14.8,-9900,-9900,0.0,0.0
2024,1,7,20,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,75,1022.1,90,16.7,-9900,-9900,0.0,0.0
2024,1,7,21,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,76,1022.0,92,18.5,-9900,-9900,0.0,0.0
2024,1,7,22,60,0.0,0.0,0.0,0.0,0.0,5,16.5,11.5,77,1021.8,93,20.4,-9900,-9900,0.0,0.0
2024,1,7,23,60,0.0,0.0,0.0,0.0,0.0,5,17.5,12.5,71,1021.9,99,18.5,-9900,-9900,0.0,0.0
2024,1,7,24,60,0.0,0.0,0.0,0.0,0.0,5,17.5,12.5,73,1022.1,97,16.7,-9900,-9900,0.0,0.0
2024,1,8,1,60,0.0,0.0,0.0,0.0,0.0,5,17.6,12.6,73,1022.3,95,14.8,-9900,-9900,0.0,0.0
